A,B,C,D,E,F
17,130.45,2,20.97,-24.6657,-10.9819
0,-5.56,7,101.17,23.7474,19.9264
33,258.46,11,165.34,-61.2035,-18.7118
0,-5.75,5,69.36,65.6229,21.3222
18,138.51,33,517.18,-46.3323,-23.6075
11,82.32,13,197.24,-44.5727,-26.782
16,122.15,7,101.48,-67.7412,-5.92659
4,26.22,3,37.52,21.9403,67.525
25,194.15,30,469.37,63.5817,53.3513
30,234.01,16,245.56,-62.0168,-30.2476
33,258.04,16,245.42,37.0883,69.7528
33,258.37,31,485.46,31.4909,36.226
37,290.41,1,5.36,46.923,34.0915
37,290.09,3,37.19,-0.984808,-0.173648
29,226.18,15,229.22,91.4909,35.12
6,42.48,39,613.55,36.6399,5.1494
28,218.13,12,181.14,-30.8348,-35.4713
34,266.48,38,597.2,45.3184,43.7635
26,202.49,9,133.41,59.2006,21.5473
15,114.36,13,197.44,-28.4942,-58.4216
20,154.37,37,581.04,36.5279,10.4742
24,186.24,22,341.49,50.5496,69.5754
18,138.26,39,613.12,12.8615,19.0679
10,74.46,23,357.25,-77.2409,-10.8555
9,66.36,25,389.41,-56.3746,-38.0251
34,266.08,26,405.17,29.4032,14.9817
35,274.37,37,581.09,-8.29038,-5.59192
18,138.45,22,341.09,44.4394,15.3017
20,154.35,37,581.15,-39.6472,-48.9602
36,282.27,6,85.05,-0.907983,-1.78201
39,306.23,38,597.32,67.7165,34.5033
22,170.24,0,-10.49,42.693,10.6446
17,130.34,21,325.23,-39.5817,-16.8014
23,178.55,2,21.5,-80.5646,-50.3423
20,154.03,36,565.25,67.6275,7.10793
17,130.26,24,373.05,64.7132,31.5627
14,106.37,7,101.03,37.0305,50.968
16,122.35,17,261.07,17.0972,13.845
27,210.51,11,165.39,37.0912,12.0517
9,66.28,4,53.41,8.89255,24.432
33,258.01,38,597.12,72.2896,10.1596
31,242.22,37,581.05,66.6489,17.8585
11,82.38,5,69.17,-70.21,-65.4718
34,266.04,4,53.3,0.813475,1.82709
