A,B,C,D
1,25,36.24,273.34
2,29,40.37,317.29
3,14,44.02,152.18
4,20,48.35,218.23
5,39,52.36,427.32
6,26,56.27,284.09
7,32,60.28,350.02
8,36,64.2,394.18
9,12,68.07,130.07
10,28,71.99,306.03
11,4,76.02,42.25
12,5,80.25,53.05
13,2,84.01,20.22
14,3,88.08,31.25
15,6,92.37,64.18
16,37,96.23,405.12
17,35,100.05,383.04
18,20,104.27,218.23
19,9,108.27,97.26
20,0,112.12,-1.73
21,34,115.99,372.35
22,2,120.37,20.35
23,19,124.37,206.98
24,3,128.17,31.09
25,33,132.01,361.1
26,36,136.33,394.01
27,27,140.03,295.15
28,27,144.22,295.22
29,26,148.03,284.26
30,7,152.2,75.16
31,21,156.05,229.12
32,8,161,86.13
33,15,164.32,163.08
34,27,168.04,295.02
35,16,172.08,174.03
36,22,176.3,240.22
37,5,180.28,53.09
38,4,184.22,42.11
39,29,188.05,317.32
40,25,192.29,272.99
41,38,196,416.23
42,32,200.26,350.33
43,20,204.33,218.28
44,20,208.08,218.19
45,32,212.21,349.98
46,26,216.07,284.25
47,14,220.14,152.17
48,7,224.16,75.02
49,26,228.1,284.1
50,14,232.13,152.07
51,11,236.15,119.06
52,12,240.21,130.35
53,6,244.21,63.99
54,21,248.1,229.1
55,1,252.09,9.19
56,11,256.07,119.37
57,19,260.14,207.26
58,31,264.13,339.34
59,22,268.32,240.1
60,25,272.1,273.29
61,39,276.17,427.16
62,0,280.23,-2.01
63,0,284.35,-2.01
64,6,288.26,64.08
65,20,292.04,217.98
66,15,296.31,163.28
67,33,300.18,361.01
68,6,304.16,64.19
69,34,308.02,372.25
70,19,312.05,207.1
71,0,316.14,-1.99
72,4,320.12,42.07
73,29,324.22,317.08
74,39,328.17,427.32
75,29,332.09,317.34
76,2,336.04,20.34
77,31,340.27,338.98
78,39,344.05,427.27
79,20,348.31,218.03
80,27,352.28,295.36
81,17,356.19,185.12
82,36,360.33,394.18
83,29,364.03,317.33
84,29,368.22,317.22
85,5,372.37,53.23
86,5,376.3,53.37
87,27,380.3,295.32
88,18,384.04,196.09
89,23,388.12,251.14
90,15,392.06,163.31
91,3,396.29,31.04
92,6,400.28,64.21
93,28,404.37,306.23
94,6,408.34,64.24
95,23,412.27,251.19
96,30,416.04,328.16
97,18,420,196.02
98,12,424.11,130.31
99,11,428.3,119.22
100,39,432.14,427.25
